name;manufacturer;address_manufacturer;num_order;date_resolution;organization;address_organization;type;class;manufacture_place;trial_organization;trial_address;status
Облучатель-рециркулятор воздуха ультрафиолетовый бактерицидный ОРУБ-01-'КРОНТ' по ТУ 9451-018-11769436-2003;ЗАО 'КРОНТ-М';141400, Россия, Московская область, г. Химки, ул. Спартаковская, д. 9, пом. 1, Россия;янв.14;09.01.2014;ЗАО 'КРОНТ-М';141400, Россия, Московская область, г. Химки, ул. Спартаковская, д. 9, пом. 1;131980;1;"124489, г.Зеленоград, Москва,  Сосновая аллея, д. 6А, строение 3
141540, Московская обл., Солнечногорский район, пос. Поварово, ул. 8-го Марта, д. 19";;; 
Емкости одноразовые из полимерных материалов для сбора, временного хранения и транспортирования медицинских отходов классов 'А,Б,В,Г' по ТУ 9398-002-65079811-2013;ООО 'Уралпак';620137, Россия, Свердловская область, г. Екатеринбург, ул. Шефская, д. 1, литер Б, Россия;фев.14;09.01.2014;ООО 'Уралпак';620137, Россия, Свердловская область, г. Екатеринбург, ул. Шефская, д. 1, литер Б;234320;1;620137, г. Екатеринбург, ул. Шефская, д. 1, литер Б;;;2015-03-11 Завершено
Небулайзеры компрессорные SENSITEC с  принадлежностями;'Апексмед Интернэшнл Б. В.';, Нидерланды, Дальнее зарубежье, Apexmed International B. V., Keizersgracht, 62-64, 1015 CS Amsterdam, the Netherlands, Нидерланды;мар.14;09.01.2014;ООО 'МЕДИКОМ';143570, Россия, Московская область, Истринский район, с.п. Новопетровское, Новопетровское, ул. Первомайская, д. 59;202950;2а;;;;2015-02-24 Завершено
Инструменты эндоскопические для ирригации, аспирации с принадлежностями;'ВЕКТЕК С.А.';, Франция, Дальнее зарубежье, VECTEC S.A., Bioparc - 03270 Hauterive, France, Франция;май.14;09.01.2014;ООО 'Л-маг';117198, Россия, г. Москва, ул. Островитянова, д. 5, корп. 2, кв. 49;190970,1827;2а;EMP, Parc d'activit&#233,s de Signes, All&#233,e de Stockholm, 83870 Signes, France.;;;2014-04-08 Завершено
Усилитель яркости рентгеновского изображения цифровой для формирования и визуализации рентгеновского изображения в режимах рентгеноскопии и импульсной цифровой рентгенографии УРИ/300-«Аметист» по ТУ 9442-011-46782692-2004;ООО 'Рентген-Комплект';109052, Россия, г. Москва, ул. Подъемная, д. 14, стр. 3, Россия;июн.14;09.01.2014;ООО 'Рентген-Комплект';109052, Россия, г. Москва, ул. Подъемная, д. 14, стр. 3;303750;2б;109052, г. Москва, ул. Подъёмная, д. 14, стр. 3;;; 
Комплекс оборудования для сбора и хранения медицинских и биологических радиоактивных отходов для отделений радионуклидной терапии по ТУ 9452-002-61301738-2012;ООО 'РадиоИзотопные Приборы';454047, Россия, Челябинская область, г. Челябинск, ул. Сталеваров, д. 7, Россия;апр.14;09.01.2014;ООО 'РадиоИзотопные Приборы';454047, Россия, Челябинская область, г. Челябинск, ул. Сталеваров, д. 7;234320;3;454047, г. Челябинск, ул. Сталеваров, д. 7;;;2015-03-03 Завершено
Тонометр автоматический офтальмологический бесконтактный HNT с принадлежностями;'Хувитц Ко., Лтд.';, Корея, Дальнее зарубежье, Huvitz Co., Ltd., 38, Burim-ro 170beon-gil, Dongan-gu, Anyang-si, Gyeonggi-do, 14055, Republic of Korea, Корея;июн.21;12.01.2021;ООО 'ДИКСИОН';127422, Россия, Москва, ул. Тимирязевская, д. 1, пом. I, ком. 2Б;172460;2а;Huvitz Co., Ltd., 38, Burim-ro 170beon-gil, Dongan-gu, Anyang-si, Gyeonggi-do, 14055, Republic of Korea;;;2021-01-26 Проводится
Имплантаты стоматологические ЕТ III NH;'Хайоссен, Инк.';, США, Hiossen, Inc., 85 Ben Fairless Drive, Fairless Hills, PA 19030, USA, США;апр.21;12.01.2021;ООО 'ОССТЕМ';115432, Россия, Москва, пр-кт Андропова, д. 18, к. 7, эт. 8, оф. 1;302490;2б;Hiossen, Inc., 85 Ben Fairless Drive, Fairless Hills, PA 19030, USA;;;2021-02-11 Проводится
Линзы контактные мягкие корригирующие однодневные clearday BEYOND 1-day UV;'Клиалаб СГ Пте. Лтд.';, Сингапур, Clearlab SG Pte. Ltd., 139 Joo Seng Road 368362, Singapore, Сингапур;окт.21;12.01.2021;ООО 'ОФТАДЕРМ-ЛОГИСТИК';117105, Россия, Москва, ул. Нагатинская, д. 1, стр. 2, цоколь, оф. 1;103040;2а;Clearlab SG Pte. Ltd., 139 Joo Seng Road 368362, Singapore;;;2021-01-25 Проводится
Средство для орошения и промывания полости носа для детей и взрослых, спрей по ТУ 21.20.23-001-63056800-2019;ООО 'Мирролла';188663, Россия, Ленинградская область, Всеволожский район, гп. Кузьмоловский, ул. Заводская, д. 3, корп. 361 а, помещ. 1н, Россия;июл.21;12.01.2021;ООО 'Мирролла';188663, Россия, Ленинградская область, Всеволожский район, гп. Кузьмоловский, ул. Заводская, д. 3, корп. 361 а, помещ. 1н;206110;2а;ООО 'Мирролла', Россия, 188663, Ленинградская область, Всеволожский район, гп. Кузьмоловский, д. б/н, корп. 186;;; 
