"date";"name";"inn";"address";"phone";"email"
"08.02.2021";"Общество с ограниченной ответственностью 'Клиника профессора Пасман'";"5406325640";"630112, Россия, Новосибирская область, г. Новосибирск, проспект Дзержинского, дом 1/1, офис 12";"8983-318-00-80, 8(383) 303-03-03";"legal@pasman-clinic.ru"
"08.02.2021";"Акционерное общество 'Клиника К+31'";"7729674716";"119415, Россия, г. Москва, ул. Лобачевского, д. 42, стр. 4";"8-800-777-31-31, 8-499-143-99-00, 8-495 104 41 43";"clinic@k31.ru,  s.mikhaylina@k31.ru"
"02.02.2021";"Общество с ограниченной ответственностью 'ИНВИТРО СПб'";"7810047507";"196105, Россия, г. Санкт-Петербург, ул. Благодатная, д. 18, лит. А";"8(812)429-49-73";"npeshkova@invitro.ru, infospb@invitro.ru"
"23.12.2020";"Федеральное государственное бюджетное учреждение 'Федеральный центр мозга и нейротехнологий' Федерального медико-биологического агентства";"7728434750";"117997, Россия, г. Москва, ул. Островитянова, д. 1, стр. 10";"(800)505-09-76, +7(926)546-01-46";"info@fccps.ru"
"11.12.2020";"Областное бюджетное учреждение здравоохранения 'Шуйская центральная районная больница'";"3706003545";"155900, Россия, Ивановская область, Шуйский район, д. Шуя, ул. 1-я Металлистов, д. 1-А";"38485, факс 38472";"crb_shuya@mail.ru"
"11.11.2020";"Общество с ограниченной ответственностью 'Экзактэ Лабс'";"5047127058";"117246, Россия, г. Москва, Научный проезд, дом 20, стр. 2";"8-499-963-90-01";"Ekaterina.pogodina@exactelabs.com"
"11.11.2020";"бюджетное учреждение здравоохранения Омской области 'Клинический медико-хирургический центр Министерства здравоохранения Омской области'";"5503102512";"644007, Россия, Омская область, г. Омск, ул. Булатова, 105";"((3812)) 25-75-62, 25-55-55";"info@clinica-omsk.ru"
"05.10.2020";"Общество с ограниченной ответственностью 'Лаборатория Гемотест'";"7709383571";"107045, Россия, г. Москва, Рождественский бульвар, д. 21, стр. 2";"(8495) 5321313, 926-919-35-94";"client@gemotest.ru"
"18.09.2020";"Государственное областное бюджетное учреждение здравоохранения 'Мурманская областная клиническая больница имени П.А. Баяндина'";"5190800114";"183047, Россия, Мурманская область, г. Мурманск, ул. Академика Павлова, д. 6";"(8152) 285-001, факс (8152) 285-096";"info@mokb51.ru"
"10.07.2020";"Общество с ограниченной ответственностью 'ИНВИТРО-Сибирь'";"5402525254";"630049, Новосибирская область, г. Новосибирск, Красный проспект, д. 218/2";"8-913-203-91-35";"oradionova@invitro.ru"
"10.07.2020";"Государственное бюджетное учреждение города Москвы 'Станция скорой и неотложной медицинской помощи им. А.С. Пучкова' Департамента здравоохранения города Москвы";"7702132064";"129090, Россия, г. Москва, Коптельский 1-й пер., д. 3, стр. 1";"(495) 632-96-70, 620-40-60, факс 632-96-79";"info@mos03.ru"
"29.06.2020";"Общество с ограниченной ответственностью 'Гранд Медика'";"4217162879";"654007, Россия, Кемеровская область, г. Новокузнецк, пр-кт Кузнецкстроевский, д. 11";"(3843) 993-932";"a.andryushina@gm.clinic"
