"number";"type";"type_ch";"region";"fio";"order_date";"order_num";"date_to";"register_date";"date_order_stop";"num_order_stop"
"5121";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Эндоскопия";"Санкт-Петербург";"Солоницын Евгений Геннадьевич";"01.03.2021";"П78-180/21";"28.02.2026";"03.03.2021";"";""
"5120";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Эндоскопия";"Санкт-Петербург";"Антипова Мария Владимировна";"03.03.2021";"П78-181/21";"02.03.2026";"03.03.2021";"";""
"5119";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"хирургии,Эндоскопия";"Санкт-Петербург";"Шершень Дмитрий Павлович";"01.03.2021";"П78-181/21";"28.02.2026";"03.03.2021";"";""
"5118";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Эндоскопия";"Архангельская область";"Назаров Алексей Юрьевич";"02.03.2021";"29-О/21";"01.03.2026";"03.03.2021";"";""
"5117";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Эндоскопия";"Архангельская область";"Носов Игорь Борисович";"02.03.2021";"28-О/21";"01.03.2026";"03.03.2021";"";""
"5116";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"психиатрии";"Архангельская область";"Конопленко Эльвира Расимовна";"02.03.2021";"27-О/21";"01.03.2026";"03.03.2021";"";""
"5115";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"инфекционным болезням";"Архангельская область";"Соловьева Татьяна Иосифовна";"02.03.2021";"30-О/21";"01.03.2026";"03.03.2021";"";""
"5114";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"неонатологии";"Тверская область";"Кольцова Светлана Юрьевна";"26.02.2021";"П69-21/21";"25.02.2026";"02.03.2021";"";""
"5113";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"акушерству и гинекологии";"Тверская область";"Гребенщикова Людмила Юрьевна";"26.02.2021";"П69-20/21";"25.02.2026";"02.03.2021";"";""
"5112";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"неонатологии";"Тверская область";"Волженина Ольга Михайловна";"26.02.2021";"П69-19/21";"25.02.2026";"02.03.2021";"";""
"5111";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"акушерству и гинекологии";"Тверская область";"Колгушкин Геннадий Алексеевич";"26.02.2021";"П69-18/21";"25.02.2026";"02.03.2021";"";""
"5110";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"акушерству и гинекологии";"Тверская область";"Косарская Екатерина Эдуардовна";"26.02.2021";"П69-17/21";"25.02.2026";"02.03.2021";"";""
"5109";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"сердечно-сосудистой хирургии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Оренбургская область";"Забиров Эдуард Мхаматович";"01.03.2021";"П56-9/21";"28.02.2026";"01.03.2021";"";""
